TransactionID,ItemsPurchased
1,"Laptop, Desktop, Printer"
2,"Desktop, Printer, Flash Drive, Microsoft Office"
3,"Printer, Flash Drive, Microsoft Office, Speakers, Monitor"
4,"Flash Drive, Microsoft Office, Speakers, Monitor, External Hard Drive, Keyboard"
5,"Microsoft Office, Speakers, Monitor, External Hard Drive, Keyboard, Mouse, Laptop"
6,"Speakers, Monitor, External Hard Drive"
7,"Monitor, External Hard Drive, Keyboard, Mouse"
8,"External Hard Drive, Keyboard, Mouse, Laptop, Desktop"
9,"Keyboard, Mouse, Laptop, Desktop, Printer, Flash Drive"
10,"Mouse, Laptop, Desktop, Printer, Flash Drive, Microsoft Office, Speakers"
11,"Laptop, Desktop, Printer"
12,"Desktop, Printer, Flash Drive, Microsoft Office"
13,"Printer, Flash Drive, Microsoft Office, Speakers, Monitor"
14,"Flash Drive, Microsoft Office, Speakers, Monitor, External Hard Drive, Keyboard"
15,"Microsoft Office, Speakers, Monitor, External Hard Drive, Keyboard, Mouse, Laptop"
16,"Speakers, Monitor, External Hard Drive"
17,"Monitor, External Hard Drive, Keyboard, Mouse"
18,"External Hard Drive, Keyboard, Mouse, Laptop, Desktop"
19,"Keyboard, Mouse, Laptop, Desktop, Printer, Flash Drive"
20,"Mouse, Laptop, Desktop, Printer, Flash Drive, Microsoft Office, Speakers"
